pali	english
Tathāgato dhammaṃ bhāsati.	The Buddha speaks the doctrine.
Brāhmaṇā odanaṃ bhuñjanti.	Brahmins eat cooked rice.
Manusso suriyaṃ passati.	The man sees the sun.
Kumārā sigāle paharanti.	Boys hit jackals.
Yācakā bhattaṃ yācanti.	Beggars beg rice.
Kassakā āvāṭe khaṇanti.	Farmers dig pits.
Mitto gāmaṃ āgacchati.	The friend comes to the village.
Bhūpālo manusse rakkhati.	The king protects men.
Puttā pabbataṃ gacchanti.	Sons go to the mountain.
Kumāro Buddhaṃ vandati.	The boy worships the Buddha.
Vāṇijā patte āharanti.	Merchants bring bowls.
Puriso vihāraṃ gacchati.	The man goes to the monastery.
Kukkurā pabbataṃ dhāvanti.	Dogs run to the mountain.
Sigālā gāmaṃ āgacchanti.	Jackals come to the village.
Brāhmaṇā sahāyake āharanti.	Brahmins bring friends.
Bhūpālā sugataṃ vandanti.	Kings worship the Buddha.
Yācakā sayanti.	Beggars sleep.
Mittā sunakhe haranti.	Friends take away dogs.
Putto candaṃ passati.	The son sees the moon.
Kassako gāmaṃ dhāvati.	The farmer runs to the village.
Vāṇijā rukkhe chindanti.	Merchants cut trees.
Naro sigālaṃ vijjhati.	The man shoots the jackal.
Kumāro odanaṃ bhuñjati.	The boy eats cooked rice.
Yācako soṇaṃ paharati.	The beggar hits the dog.
Sahāyakā pabbate āruhanti.	Friends climb mountains.
Narā vihāraṃ gacchanti.	Men go to the monastery.
Kassakā pabbate āruhanti.	Farmers climb mountains.
Brāhmaṇo odanaṃ bhuñjati.	The brahmin eats rice.
Buddho kumāre passati.	The Buddha sees the boys.
Mātulā patte haranti.	Uncles take away bowls.
Putto kukkuraṃ rakkhati.	The son protects the dog.
Bhūpālo Buddhaṃ vandati.	The king worships the Buddha.
Vāṇijo kumāraṃ āharati.	The merchant brings a boy.
Mittā brāhmaṇaṃ vandanti.	Friends salute the brahmin.
Yācakā bhattaṃ yācanti.	Beggars beg rice.
Vāṇijā sigāle vijjhanti.	Merchants shoot jackals.
Kumārā pabbataṃ āruhanti.	Boys climb the mountain.
Kassako gāmaṃ dhāvati.	The farmer runs to the village.
Vāṇijo odanaṃ pacati.	The merchant cooks rice.
Puttā mātulaṃ vandanti.	Sons worship the uncle.
Bhūpālā manusse rakkhanti.	Kings protect men.
Buddho vihāraṃ āgacchati.	The Buddha comes to the monastery.
Narā oruhanti.	The men descend.
Kassakā āvāṭe khaṇanti.	Farmers dig pits.
Vāṇijo dhāvati.	The merchant runs.
Kukkuro candaṃ passati.	The dog sees the moon.
Kumārā rukkhe āruhanti.	Boys climb trees.
Brāhmaṇo pattaṃ āharati.	The brahmin brings the bowl.
Yācako sayati.	The beggar sleeps.
Bhūpālo Buddhaṃ passati.	The king sees the Buddha.
